name,category,city,address,phone,website,rating,reviews,maps_url,scraped_at
VetriCinema,film production house,Chennai,"no 12, New no 9, old, 5th St, Thirunagar, Vadapalani, Chennai, Tamil Nadu 600026",098419 50053,,4.9,,"https://www.google.com/maps/place/VetriCinema/@13.0486409,80.1624735,13z/data=!4m10!1m2!2m1!1sfilm+production+house+in+Chennai,+Tamil+Nadu!3m6!1s0x3a5267f695ed9935:0xb8dea0e5165695be!8m2!3d13.0593135!4d80.2099119!15sCixmaWxtIHByb2R1Y3Rpb24gaG91c2UgaW4gQ2hlbm5haSwgVGFtaWwgTmFkdVotIitmaWxtIHByb2R1Y3Rpb24gaG91c2UgaW4gY2hlbm5haSB0YW1pbCBuYWR1kgEXZmlsbV9wcm9kdWN0aW9uX2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlBOR1JMZG5aQlJSQULgAQD6AQQIABAe!16s%2Fg%2F11flbrv834?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 15:47
Vishal Film Factory,film production house,Chennai,"47, Sterling Ave, Nungambakkam, Chennai, Tamil Nadu 600034",,,4.7,,"https://www.google.com/maps/place/Vishal+Film+Factory/@13.0486409,80.1624735,13z/data=!4m10!1m2!2m1!1sfilm+production+house+in+Chennai,+Tamil+Nadu!3m6!1s0x3a52670d754c4b01:0xac145f387e0f8201!8m2!3d13.0637416!4d80.2361133!15sCixmaWxtIHByb2R1Y3Rpb24gaG91c2UgaW4gQ2hlbm5haSwgVGFtaWwgTmFkdVotIitmaWxtIHByb2R1Y3Rpb24gaG91c2UgaW4gY2hlbm5haSB0YW1pbCBuYWR1kgEXZmlsbV9wcm9kdWN0aW9uX2NvbXBhbnmaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjVhUm1WRVJqRk9hMFpQVDBaR2VXUlVUak5rTTNCNVpWYzFTMkZJWXhBQuABAPoBBQiUAhAf!16s%2Fg%2F11n7fmmxj6?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 15:47
Axess Film Factory,film production house,Chennai,"52,2nd Floor, Kannammal St, kannabiran colony, Saligramam, Chennai, Tamil Nadu 600093",099625 72705,https://www.axessfilmfactory.com/,4.7,,"https://www.google.com/maps/place/Axess+Film+Factory/@13.0504152,80.1277014,13z/data=!4m10!1m2!2m1!1sfilm+production+house+in+Chennai,+Tamil+Nadu!3m6!1s0x3a5267205e31f16d:0x961a350fea097721!8m2!3d13.0504152!4d80.1997992!15sCixmaWxtIHByb2R1Y3Rpb24gaG91c2UgaW4gQ2hlbm5haSwgVGFtaWwgTmFkdVotIitmaWxtIHByb2R1Y3Rpb24gaG91c2UgaW4gY2hlbm5haSB0YW1pbCBuYWR1kgEXZmlsbV9wcm9kdWN0aW9uX2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmxNbTl5TlROQlJSQULgAQD6AQQIABBM!16s%2Fg%2F11j31w0yhy?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 15:47
2d Entertainment Pvt Ltd,film production house,Chennai,"2nd floor Apartment, Akshaya Suriya, 43/20, Besant Ave Rd, Karpagam Gardens, Adyar, Chennai, Tamil Nadu 600020",044 4204 6111,http://2dentertainment.in/,4.7,,"https://www.google.com/maps/place/2d+Entertainment+Pvt+Ltd/@13.0070654,80.1886526,13z/data=!4m10!1m2!2m1!1sfilm+production+house+in+Chennai,+Tamil+Nadu!3m6!1s0x3a5267b54cbd2d47:0xd83132a9e4ba206c!8m2!3d13.0070654!4d80.2607504!15sCixmaWxtIHByb2R1Y3Rpb24gaG91c2UgaW4gQ2hlbm5haSwgVGFtaWwgTmFkdVotIitmaWxtIHByb2R1Y3Rpb24gaG91c2UgaW4gY2hlbm5haSB0YW1pbCBuYWR1kgEXZmlsbV9wcm9kdWN0aW9uX2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblRVUkpOVkJ0Y21kblJSQULgAQD6AQQIABAd!16s%2Fg%2F11dxc0_5ml?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 15:47
Lyca Productions Private Limited,film production house,Chennai,"4th Floor, Block-B, 55, Vijayaraghava Rd, T. Nagar, Chennai, Tamil Nadu 600017",044 4023 1234,https://lycaproductions.in/,4.6,,"https://www.google.com/maps/place/Lyca+Productions+Private+Limited/@13.0070654,80.1886526,13z/data=!4m10!1m2!2m1!1sfilm+production+house+in+Chennai,+Tamil+Nadu!3m6!1s0x3a52664e30157edd:0x961f809c4163d954!8m2!3d13.0436141!4d80.24175!15sCixmaWxtIHByb2R1Y3Rpb24gaG91c2UgaW4gQ2hlbm5haSwgVGFtaWwgTmFkdVotIitmaWxtIHByb2R1Y3Rpb24gaG91c2UgaW4gY2hlbm5haSB0YW1pbCBuYWR1kgEXZmlsbV9wcm9kdWN0aW9uX2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkdiMXB0Um5oUlJSQULgAQD6AQQIABAZ!16s%2Fg%2F11bw21cdh9?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 15:47
Madras Talkies,film production house,Chennai,"15/8, Crescent Avenue Rd, Kesavaperumalpuram, Gandhi Nagar, Raja Annamalaipuram, Chennai, Tamil Nadu 600028",044 2461 5810,https://madras-talkies.blogspot.com/,4.6,,"https://www.google.com/maps/place/Madras+Talkies/@13.0070654,80.1886526,13z/data=!4m10!1m2!2m1!1sfilm+production+house+in+Chennai,+Tamil+Nadu!3m6!1s0x3a5267b88fedd009:0x7524b534d91eeceb!8m2!3d13.020888!4d80.2536779!15sCixmaWxtIHByb2R1Y3Rpb24gaG91c2UgaW4gQ2hlbm5haSwgVGFtaWwgTmFkdVotIitmaWxtIHByb2R1Y3Rpb24gaG91c2UgaW4gY2hlbm5haSB0YW1pbCBuYWR1kgEXZmlsbV9wcm9kdWN0aW9uX2NvbXBhbnmaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjA0ZVdSVVZscGlWM2MwVVRKYWMxWnNVbE5pU0U1VlVrWkNiVlV6WXhBQuABAPoBBAhKEDQ!16s%2Fg%2F11bw61l4l7?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 15:47
Mark Studio India Private Limited,film production house,Chennai,"No: 11/6, First Floor, Ramanathan St, Mahalingapuram, Nungambakkam, Chennai, Tamil Nadu 600034",073389 04628,,4.6,,"https://www.google.com/maps/place/Mark+Studio+India+Private+Limited/@13.0655049,80.1634954,13z/data=!4m10!1m2!2m1!1sfilm+production+house+in+Chennai,+Tamil+Nadu!3m6!1s0x3a52665f9c03fefb:0xe3469c347ecafa77!8m2!3d13.0655049!4d80.2355932!15sCixmaWxtIHByb2R1Y3Rpb24gaG91c2UgaW4gQ2hlbm5haSwgVGFtaWwgTmFkdVotIitmaWxtIHByb2R1Y3Rpb24gaG91c2UgaW4gY2hlbm5haSB0YW1pbCBuYWR1kgEXZmlsbV9wcm9kdWN0aW9uX2NvbXBhbnmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblRVTjNhbGt0ZFVabkVBReABAPoBBAg2EDY!16s%2Fg%2F11cm1sv4w4?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 15:47
Pathway Productions,film production house,Chennai,"First floor, 9, Chinnaya St, Thirumurthy Nagar, Satyamurthy Nagar, T. Nagar, Chennai, Tamil Nadu 600017",,http://www.pathwayproductions.in/,4.7,,"https://www.google.com/maps/place/Pathway+Productions/@13.0655049,80.1634954,13z/data=!4m10!1m2!2m1!1sfilm+production+house+in+Chennai,+Tamil+Nadu!3m6!1s0x3a526612f5946dbb:0xd56aa2fb97be7fd1!8m2!3d13.0467194!4d80.2414937!15sCixmaWxtIHByb2R1Y3Rpb24gaG91c2UgaW4gQ2hlbm5haSwgVGFtaWwgTmFkdVotIitmaWxtIHByb2R1Y3Rpb24gaG91c2UgaW4gY2hlbm5haSB0YW1pbCBuYWR1kgEYdmlkZW9fcHJvZHVjdGlvbl9zZXJ2aWNlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJQWjAxcFpFZFJFQUXgAQD6AQQIABAi!16s%2Fg%2F12hpj8_j0?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 15:47
